rank|token_id|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
122|489|Holo Mask : White & Black #489|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/489|Vince|Emma 2 Color|Everett|Mila|Brandon Black|Ethan White
122|602|Holo Mask : White & Black #602|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/602|Trey|Mia 2 Color|Xavier|Naila|Gael Black|Jaxson White
122|809|Holo Mask : White & Black #809|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/809|Trey|Kaden White 2 Color|Sawyer|Nilda|Bennett Black|Mateo White
122|1421|Holo Mask : White & Black #1421|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1421|Vince|Abigail 2 Color|Parker|Nina|Ivan White|Ethan White
122|1951|Holo Mask : White & Black #1951|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1951|Vince|Camila 2 Color|Miles|Niada|Weston White|Lincoln White
122|2109|Holo Mask : White & Black #2109|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2109|Sunshine|Jenna White 2 Color|Miles|Nyla|Maxwell Black|Theodore White
122|2338|Holo Mask : White & Black #2338|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2338|Sunshine|Emma 2 Color|Everett|Nyla|Gavin White|Michael White
122|2464|Holo Mask : White & Black #2464|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2464|Vince|Stella 2 Color|Wesley|Nadia|Brandon Black|Jayden White
122|2485|Holo Mask : White & Black #2485|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2485|Vince|Zoey 2 Color|Parker|Mila|Declan White|Joshua White
122|2535|Holo Mask : White & Black #2535|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2535|Vince|Sofia 2 Color|Jace|Nilda|Declan Black|Josiah White
