rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
4276|472.7450948782885|4441|Genesis Kami #4441|Hazelnut|Purple wand|Black|White determined|Orange tribal|Gold double long right|Smile|White opera kamen|Brownish orange long hair|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4441
4277|472.6631959783942|4127|Genesis Kami #4127|Porpoise|Spear|White|Yellow aggressive|Blue hood|Gold ring 2|Gritted|Houtai cheek & nose|Gold oppa|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4127
4278|472.5552742253468|2025|Genesis Kami #2025|Coin black red thunder|None|Cream|Green determined|White onmyoji|Silver short long|Smile|Houtai cheek left|Mint nippon|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2025
4279|472.4353115040877|2768|Genesis Kami #2768|Pine|None|Cream|Pink good boy|Purple gangster suit|Gold double ring right 2|Angry|Green cyberpunk glasses|White oppa|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2768
4280|472.3851197895517|3709|Genesis Kami #3709|Mahogany|Red scythe|Cream|Black strained|White black clown|Gold double long right|Haha|Black danzo mekakushi|Brownish orange long hair|Horror mask|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3709
4281|472.3447015809016|5319|Genesis Kami #5319|Blush|Berserker blade|Titanium|Green determined|White ronin|Silver ring 1|Smile with teeth|Doctor glasses|Red long hair|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5319
4282|472.28499554850623|5430|Genesis Kami #5430|Blush|None|White|Sky blue aggressive|Red tribal|Gold double ring right 2|Smile with teeth|Black danzo mekakushi|Black nippon|Horror mask|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5430
4283|472.2634260291486|850|Genesis Kami #850|Sandstone|Silver berserker|Cream|Pink good boy|Green cyberpunk suit|Silver four ring right|Smile with teeth|Black opera kamen|Mint slick hair|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/850
4284|472.2029089264564|4723|Genesis Kami #4723|Porpoise white red|Red scythe|Cream|Sky blue angry eyes|White black clown|Silver skull|Mild smile|None|White nippon|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4723
4285|472.1461288550069|4182|Genesis Kami #4182|Wood|Gray scythe|Black|Green angry eyes|Blue cyberpunk suit|Silver chain|Gritted|None|Purple ikemen|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4182
4286|472.05007865623776|932|Genesis Kami #932|Blizzard night|None|White|Yellow strained|Purple wizard|Gold spear|Neutral|Black pirate eyepatch|Mint slick hair|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/932
4287|471.92411574751264|2499|Genesis Kami #2499|Sky|Gray scythe|White|Yellow aggressive|Orange cyberpunk suit|Silver skull|Pink gum|Houtai nose|Red slick hair|White devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2499
4288|471.86184760270646|861|Genesis Kami #861|Hickory|Red scythe|White|Pink grievous|White black clown|Gold double ring right 1|Purple rose|Black mekakushi|Gold long hair|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/861
4289|471.75084081658457|1383|Genesis Kami #1383|Porpoise|None|Cream|Black strained|Blue gangster suit|White feather|Blue rose|Round glasses big|Brown ikemen|Black baby dragon|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1383
4290|471.7498279474925|5377|Genesis Kami #5377|Mahogany|Red scythe|White|Green cold|Red white clown|Silver four ring right|Blue rose|Black mekakushi|Red disheveled|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5377
4291|471.7273221242381|2846|Genesis Kami #2846|Silver|None|White|White angry eyes|Red white clown|Gold double ring right 2|Mild smile|White kamen|Brown disheveled|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2846
4292|471.7103310068426|1492|Genesis Kami #1492|Lead water fairy|Red wand|Black|Red cold|Red father|Gold chain|Purple rose|None|White long hair|Black baby dragon|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1492
4293|471.6891689897955|806|Genesis Kami #806|Teal kase|Shikigami|Cream|White gentle|Red onmyoji|Gold ring 2|Mild smile|Houtai both cheek|Black oppa|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/806
4294|471.6648438044827|1177|Genesis Kami #1177|Pewter|Gray scythe|Cream|Sky blue grievous|White wing angel|Gold feather|Angry|None|White ikemen|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1177
4295|471.5528676774937|2886|Genesis Kami #2886|Pewter|None|Titanium|Sky blue gentle|Red father|Black feather|Gritted|Houtai nose|Gold cornrow braids|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2886
4296|471.4582197443812|1358|Genesis Kami #1358|Shadow|None|White|Red strained|Black white clown|Silver dot|Smile|None|Black under cut|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1358
4297|471.4132753766526|3564|Genesis Kami #3564|Olive|Katana 1|White|Sky blue gentle|Black ronin|None|Rose|Round glasses big|Brown nippon|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3564
4298|471.3961280029614|5341|Genesis Kami #5341|Sky|Brush|White|White determined|White ronin|Black spear|Smirk|Houtai all|Mint disheveled|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5341
4299|471.3784937401133|929|Genesis Kami #929|Oat|Red wand|Cream|Red good boy|Red lord|Silver double long right|Mild smile|None|Brownish orange shonen|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/929
4300|471.35620112019495|5044|Genesis Kami #5044|Hazelnut|Katana 2|Brown|Green gentle|Red wizard|nail|Haha|Gold cyberpunk glasses|Brownish orange oppa|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5044
4301|471.34968512467975|3314|Genesis Kami #3314|Flint black purple thunder|None|Brown|Black angry eyes|White priest|Purple black fluffy|White rose|None|Mint oppa|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3314
4302|471.34523277629853|438|Genesis Kami #438|Lavender|Red scythe|Cream|Red demon|Green cyberpunk suit|Gold spear|Smile|Danzo mekakushi houtai|Mint japan bangs|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/438
4303|471.2919876079073|5187|Genesis Kami #5187|Black fire|Katana 2|Cream|Red vampire|Blue binbo|Sky blue feather|Angry|Doctor glasses|Purple nippon|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5187
4304|471.2743401581775|523|Genesis Kami #523|Sky|None|White|Black determined|Black onmyoji|Silver four ring right|Gritted|Black kamen|Purple wuxia|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/523
4305|471.2691832676941|76|Genesis Kami #76|Mahogany|Brush|Cream|Yellow demon|Black white purple kimono|Silver double long right|Purple rose|Rimless|Black slick hair|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/76
4306|471.2684578252744|5244|Genesis Kami #5244|Black fire|Purple scythe|Cream|Red grievous|Orange cyberpunk suit|Silver dot|Neutral|Green cyberpunk glasses|Brown slick hair|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5244
4307|471.1784669749638|80|Genesis Kami #80|Pewter|Purple scythe|Cream|Pink determined|Green cyberpunk suit|Gold feather|Smile with teeth|Red mekakushi|Red shonen|Black cat ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/80
4308|471.1718215162279|55|Genesis Kami #55|Shadow|None|Black|Green determined|Gray turtle|Gold double long right|Smile|None|Purple oppa|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/55
4309|471.16653391384995|3094|Genesis Kami #3094|Sky|Spear|White|Red gentle|Purple ninja|None|Pink gum|Black kamen|White ikemen|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3094
4310|471.1422739975976|1993|Genesis Kami #1993|Blizzard|Katana 2|Cream|Yellow strained|Red onmyoji|White skull|Smile with teeth|None|Mint long hair|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1993
4311|471.1225607293093|4525|Genesis Kami #4525|Coin|Spear|Brown|Black gentle|Red onmyoji|Purple white fluffy|Angry|None|Brownish orange disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4525
4312|471.1044087692857|3310|Genesis Kami #3310|Umber|None|White|Red vampire|White red kimono|Silver ring 3|Mild smile|Houtai both cheek|Black oppa|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3310
4313|471.050446109309|1820|Genesis Kami #1820|Silver|Silver berserker|Titanium|White angry eyes|Purple tribal|Black spear|Smile|Green cyberpunk glasses|White oppa|Black devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1820
4314|470.9289773713249|3196|Genesis Kami #3196|Sky|Berserker blade|White|White grievous|Black gold pimp|Silver chain|Neutral|Green cyberpunk glasses|Purple japan bangs|White kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3196
4315|470.8879419221341|986|Genesis Kami #986|Umber|Gray scythe|White|White grievous|White lord|Silver triple ring right|Mild smile|Black kamen|White harajuku|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/986
4316|470.86654585466783|1425|Genesis Kami #1425|Cyberpunk system|Gray scythe|White|White strained|Dark tribal|Black spear|Mild smile|Houtai cheek & nose|Brown ikemen|Black baby dragon|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1425
4317|470.83297550764206|353|Genesis Kami #353|Hickory|Spear|Brown|White determined|White black kimono|Silver short long|Mild smile|Doctor glasses|Mint ikemen|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/353
4318|470.7658395827133|4050|Genesis Kami #4050|Shadow|Gold berserker|Black|Green determined|Gold lord|Black spear|Smile with teeth|Bandage cheek|Brownish orange nippon|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4050
4319|470.70612591898623|1994|Genesis Kami #1994|Umber|None|Cream|Yellow determined|White red kimono|Black spear|Smile|Black pirate eyepatch|Brown nippon|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1994
4320|470.64091819385004|5171|Genesis Kami #5171|Flint|Katana 2|Black|Pink angry eyes|Yellow onmyoji|Silver spear|White rose|None|Black long hair|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5171
4321|470.617530871448|2340|Genesis Kami #2340|Lead fire fairy|Silver berserker|Gray|Pink gangsta|White father|Silver skull|Neutral|Black mekakushi|Red shonen|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2340
4322|470.60942421506184|4226|Genesis Kami #4226|Wood|Purple wand|Gray|Green gentle|White father|White feather|Smile|Black kamen|Red harajuku|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4226
4323|470.5588745258227|1554|Genesis Kami #1554|Hazelnut|Purple scythe|White|White grievous|Red father|White skull|Neutral|Gold cyberpunk glasses|Red disheveled|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1554
4324|470.42545556363837|4718|Genesis Kami #4718|Coin|Gold berserker|Brown|Sky blue grievous|Bondage pharoh|Silver double long right|Smile|Houtai cheek & nose|White japan bangs|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4718
4325|470.3853643602685|1746|Genesis Kami #1746|Seaweed|Gray scythe|Cream|White determined|Gold lord|Gold ring 2|White rose|White opera kamen|Purple oppa|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1746
4326|470.35647485344236|4884|Genesis Kami #4884|Coin|Spear|Cream|Pink gangsta|Light gray fur|Black feather|Mild smile|Houtai cheek|Gold disheveled|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4884
4327|470.2894824635778|1559|Genesis Kami #1559|Wood|None|Brown|Sky blue cold|Purple tribal|Silver chain|Black rose|Danzo mekakushi houtai|Brown harajuku|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1559
4328|470.2275364986919|5320|Genesis Kami #5320|Hazelnut|Purple wand|Brown|White gangsta|Purple lord|Gold short long|Mild smile|Houtai nose|Gold disheveled|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5320
4329|470.2273026326597|245|Genesis Kami #245|Mahogany|Katana 1|Cream|Purple cold|Gold kimono|None|Rose|Houtai all|Gold disheveled|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/245
4330|470.224177855772|3138|Genesis Kami #3138|Umber|Gold berserker|Titanium|White good boy|Dark tribal|White feather|Neutral|Blue cyberpunk glasses|Brown japan bangs|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3138
4331|470.1057452937781|3983|Genesis Kami #3983|Olive|Shikigami|White|Red gangsta|Gold kimono|Silver double long right|Smirk|Houtai cheek & nose|White slick hair|Black baby dragon|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3983
4332|470.05833588931165|1762|Genesis Kami #1762|Black fire|None|Cream|White grievous|Red tribal|Gold spear|Gritted|White kamen|Brown ikemen|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1762
4333|470.0439899993933|1619|Genesis Kami #1619|Lead fire fairy|Silver berserker|White|Pink cold|Red father|Silver ring 1|Mild smile|White kamen|Red ikemen|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1619
4334|469.93025609213186|1904|Genesis Kami #1904|Mahogany|Shikigami|White|Yellow good boy|Gray bondage|White feather|Angry|Houtai cheek & nose|Brown harajuku|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1904
4335|469.9265827113003|697|Genesis Kami #697|Pine|Silver berserker|White|Green aggressive|Black gold clown|Gold short long|Purple rose|Bandage cheek|Black disheveled|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/697
4336|469.86381677833435|726|Genesis Kami #726|Pine|Purple wand|Cream|Black vampire|Red fur|Sky blue feather|Smirk|Houtai cheek|Black nippon|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/726
4337|469.85105783371415|4473|Genesis Kami #4473|Teal kase|Red wand|White|Sky blue angry eyes|Pharoh|None|Mild smile|White opera kamen|Brownish orange oppa|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4473
4338|469.8319380880606|4174|Genesis Kami #4174|Flint black purple thunder|Gray scythe|Gray|Red gentle|Purple tribal|Silver four ring right|Smirk|Bandage cheek|Purple ikemen|Black kitsune ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4174
4339|469.82471094515637|842|Genesis Kami #842|Sandstone|Berserker blade|Brown|Yellow grievous|Purple onmyoji|Gold ring 2|Smile|Round glasses small|Gray slick hair|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/842
4340|469.75550958758885|1945|Genesis Kami #1945|Hazelnut|None|White|Red vampire|Purple ninja|Silver short long|Mild smile|Mekakushi houtai|Gold harajuku|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1945
4341|469.72537104382843|2441|Genesis Kami #2441|Seaweed|Gold berserker|Cream|Red cold|Red father|White skull|Angry|Gold cyberpunk glasses|Purple slick hair|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2441
4342|469.6783708483957|4040|Genesis Kami #4040|Hickory|Spear|Cream|Purple satan|Yellow priest|Gold short long|Mild smile|Round glasses small|White disheveled|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4040
4343|469.56169038442096|3277|Genesis Kami #3277|Flint|Berserker blade|White|Yellow cold|Purple ninja|White feather|Gritted|Black kamen|Black shonen|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3277
4344|469.52227347076155|5220|Genesis Kami #5220|Shadow|None|White|Purple angry eyes|Red fur|Silver ring 2|Smile|Red mekakushi|Gray disheveled|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5220
4345|469.5029761155653|647|Genesis Kami #647|Sandstone|Gold berserker|Cream|Red satan|Red white clown|Silver spear|White rose|Gold cyberpunk glasses|Brownish orange disheveled|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/647
4346|469.44444087714754|5098|Genesis Kami #5098|Wood|None|Cream|Purple good boy|Red biker jacket|Gold dot|Smile with teeth|Black kamen|Black shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5098
4347|469.27821235146706|3718|Genesis Kami #3718|Sky|Gold berserker|White|Purple determined|Pharoh|Gold double ring right 2|Neutral|Blue cyberpunk glasses|Black slick hair|White devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3718
4348|469.24508029978546|3829|Genesis Kami #3829|Mahogany|Purple scythe|Black|Green demon|Jacket hood|Gold double ring right 1|Blue rose|None|Gray oppa|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3829
4349|469.21463219543074|2240|Genesis Kami #2240|Silver|None|Black|Green strained|Black kimono|Gold ring 2|Mild smile|Houtai cheek left|White oppa|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2240
4350|469.1907845510961|2669|Genesis Kami #2669|Sandstone|None|Brown|Red aggressive|Red cyberpunk suit|Silver short long|Neutral|Bandage cheek|Purple long hair|Angel ring|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2669
4351|469.17728028492206|2202|Genesis Kami #2202|Seaweed|Purple wand|Cream|Red demon|Orange tribal|Silver ring 3|Smile|Danzo mekakushi houtai|Red harajuku|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2202
4352|469.11968173008415|2435|Genesis Kami #2435|Sky|Purple wand|Titanium|Gray demon|Brown turtle|Gold ring 1|Smirk|Black opera kamen|Gray nippon|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2435
4353|469.1063078640727|4799|Genesis Kami #4799|Porpoise|Purple scythe|Cream|Sky blue good boy|Red white clown|Gold ring 1|Smile|Bandage cheek & nose|Purple nippon|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4799
4354|469.0011053210325|4020|Genesis Kami #4020|Wood|None|Titanium|Yellow strained|Gold lord|Gold double long right|Mild smile|Green cyberpunk glasses|Brown shonen|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4020
4355|468.96916168332785|1718|Genesis Kami #1718|Black fire|None|White|Yellow grievous|Red cyberpunk suit|Gold ring 1|Purple rose|None|Mint long hair|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1718
4356|468.8696458026994|3107|Genesis Kami #3107|Porpoise blue thunder|Purple wand|White|White gentle|Red cyberpunk suit|Silver triple ring right|Angry|Houtai cheek|Brown japan bangs|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3107
4357|468.83572044612805|1349|Genesis Kami #1349|Porpoise|Purple scythe|White|White good boy|White father|Silver triple ring right|Green gum|Bandage cheek & nose|Brownish orange harajuku|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1349
4358|468.8139598092949|764|Genesis Kami #764|Flint|Purple wand|Gray|Yellow determined|Orange tribal|Silver dot|Neutral|Houtai nose|Red ikemen|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/764
4359|468.7856488113796|2523|Genesis Kami #2523|Seaweed|Gold buster sword|White|Yellow cold|Black shirt|None|Gritted|Round glasses small|Brown japan bangs|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2523
4360|468.7458163711844|4667|Genesis Kami #4667|Colud blue kaminari|Berserker blade|White|Red vampire|Purple onmyoji|Gold double ring right 1|Knife|None|Mint oppa|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4667
4361|468.62543159499256|1128|Genesis Kami #1128|Coin|Brush|Titanium|Sky blue determined|White black kimono|Silver spear|Knife|Houtai cheek & nose|Brown disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1128
4362|468.47694648791054|436|Genesis Kami #436|Flint|Spear|Brown|Purple satan|Gold kimono|Gold ring 2|White rose|Mekakushi houtai|Red ikemen|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/436
4363|468.4744045944295|1667|Genesis Kami #1667|Seaweed|None|Brown|Sky blue gentle|Black gold clown|Black feather|Cigar|None|Brown cornrow braids|Black kitsune ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1667
4364|468.4604518719124|1040|Genesis Kami #1040|Mahogany|Red scythe|Cream|Yellow strained|Black white clown|Gold feather|Mild smile|Black mekakushi|Brown oppa|Black baby dragon|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1040
4365|468.3911836132144|1976|Genesis Kami #1976|Seaweed|Spear|White|Yellow gangsta|Blue binbo|Gold fan|Mild smile|None|Gold nippon|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1976
4366|468.3641562709936|2063|Genesis Kami #2063|Olive|Red wand|Cream|Pink determined|Purple tribal|Gold triple ring right|Angry|Black pirate eyepatch|Brown cornrow braids|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2063
4367|468.32652895192604|1547|Genesis Kami #1547|Porpoise|Silver berserker|White|Sky blue good boy|Gold lord|Gold ring 1|Neutral|None|Black oppa|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1547
4368|468.2994850630811|3746|Genesis Kami #3746|Sky|None|White|Sky blue satan|Gold kimono|Gold ring 2|Mild smile|Round glasses big|Purple slick hair|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3746
4369|468.27034941158433|681|Genesis Kami #681|Mahogany|None|Cream|Black gentle|Pharoh|Gold ring 1|Black rose|Houtai cheek & nose|Gold disheveled|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/681
4370|468.25654512507936|167|Genesis Kami #167|Pewter|Katana 1|White|Green aggressive|Black kimono|White feather|Angry|Gantai|Black disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/167
4371|468.2537787173887|3505|Genesis Kami #3505|Sandstone|Brush|Cream|Red gentle|Red father|Silver dot|Green gum|Round glasses big|White nippon|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3505
4372|468.1871399835019|3240|Genesis Kami #3240|Mahogany|Gold buster sword|White|Gray demon|Gray turtle|Gold double long right|Neutral|Round glasses big|Brown slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3240
4373|468.1346039095172|149|Genesis Kami #149|Mahogany|None|White|Yellow angry eyes|Pharoh|Silver double long right|Angry|Bandage cheek|White slick hair|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/149
4374|468.0674846108274|1715|Genesis Kami #1715|Mahogany|None|White|Green cold|Black onmyoji|None|Smirk|Mommy mask|Brownish orange oppa|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1715
4375|468.03614764051196|36|Genesis Kami #36|Porpoise forest fairy|Berserker blade|Cream|Red vampire|Green binbo|Black feather|Angry|Houtai both cheek|Purple oppa|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/36
4376|468.0014864308057|4228|Genesis Kami #4228|Colud blue kaminari|Red scythe|Cream|Purple strained|Purple tribal|White skull|Smile|Bandage cheek & nose|Brown japan bangs|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4228
4377|467.9886824597354|5460|Genesis Kami #5460|Shadow|Katana 2|White|Pink good boy|Black fur|Gold spear|Green gum|Red mekakushi|Black nippon|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5460
4378|467.98300249182347|2637|Genesis Kami #2637|Coin|Katana 2|White|Gray demon|White black kimono|Black white fluffy|Smirk|None|Black oppa|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2637
