rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
1348|619.8785240820976|3641|Genesis Kami #3641|Olive|Red wand|White|White gangsta|White black clown|Gold feather|Mild smile|Black danzo mekakushi|Brownish orange kpop 1|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3641
1349|619.8741715428996|201|Genesis Kami #201|Flint|Katana 1|Brown|Sky blue strained|White red kimono|Silver short long|Neutral|Black mekakushi|Red long hair|Bamboohat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/201
1350|619.7723037411339|4933|Genesis Kami #4933|Umber|Katana 1|Gray|Purple cold|Jacket hood|nail|Smile with teeth|Black opera kamen|Brownish orange shonen|White baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4933
1351|619.695404447505|3805|Genesis Kami #3805|Olive|Red scythe|Cream|Yellow good boy|Purple cyberpunk suit|None|Pink gum|Black opera kamen|Mint cornrow braids|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3805
1352|619.5282157360975|1151|Genesis Kami #1151|Fossil red fire ghost|Katana 2|Cream|White cold|Gray binbo|Gold short long|Gritted|Ninja mask|Gray nippon|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1151
1353|619.5130006011627|322|Genesis Kami #322|Blizzard night|Silver berserker|Cream|Red strained|Red lord|Gold ring 1|White rose|Gold cyberpunk glasses|Brownish orange long hair|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/322
1354|619.3721692333548|5449|Genesis Kami #5449|Wood|None|Cream|Green grievous|Black onmyoji|White black fluffy|Smirk|Black mekakushi|Black madara|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5449
1355|619.3070906325391|2850|Genesis Kami #2850|Rosewood|Berserker blade|Black|Green strained|Gray bondage|Silver fan|Mild smile|Houtai nose|Red kpop 1|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2850
1356|619.2413013387876|2092|Genesis Kami #2092|Slate purple fire ghost|Spear|Brown|Black grievous|Purple black hood|Gold double long right|Neutral|Houtai cheek & nose|Black shonen|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2092
1357|619.2008287781409|3700|Genesis Kami #3700|Fossil purple fire ghost|Red scythe|White|Purple cold|Black angel|Silver short long|Black rose|Blue cyberpunk glasses|Gray ikemen|White devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3700
1358|619.1927635274535|4149|Genesis Kami #4149|Wood|None|Cream|Black vampire|Purple wizard|Silver short long|Smile with teeth|Brown pirate eyepatch|Brown shonen|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4149
1359|619.1261840784205|2395|Genesis Kami #2395|Porpoise|None|Black|Purple determined|Black gakuran|Silver ring 3|White rose|Round glasses big|Gray oppa|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2395
1360|619.0641760097345|794|Genesis Kami #794|Coin black red thunder|Gray scythe|Gray|Sky blue determined|Purple gangster suit|Silver chain|Cigar|None|Gold ikemen|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/794
1361|618.9525420768415|2486|Genesis Kami #2486|Seaweed|Gold buster sword|Gray|Sky blue aggressive|White gakuran|Silver spear|Blue gum|Black opera kamen|Gray slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2486
1362|618.8653575476555|4199|Genesis Kami #4199|Pine|None|White|Black cold|Black shirt|None|Black rose|Megane|Brownish orange japan bangs|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4199
1363|618.8202386257515|5369|Genesis Kami #5369|Coin sakura|Brush|Gray|Purple good boy|Black shirt|Gold double long right|Smirk|Black opera kamen|Gray harajuku|Angel ring|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5369
1364|618.7748685643493|3042|Genesis Kami #3042|Coin|Shikigami|Titanium|Yellow gangsta|Black gold samurai|Silver double long right|Smile|Doctor glasses|Gold slick hair|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3042
1365|618.693409925299|5448|Genesis Kami #5448|Cyberpunk system|None|Cream|Yellow good boy|Purple white hood|Silver chain|Gritted|Black kamen|Purple nippon|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5448
1366|618.6067087314731|1978|Genesis Kami #1978|Shadow|Katana 1|White|Red cold|Brown turtle|Black feather|Angry|Megane|Red shonen|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1978
1367|618.5142572284017|3684|Genesis Kami #3684|Lead fire fairy|Katana 1|Brown|Purple determined|Blue binbo|Black white fluffy|Smile with teeth|Doctor glasses|White harajuku|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3684
1368|618.429479259964|4426|Genesis Kami #4426|Slate red fire ghost|None|White|White gentle|Purple cape|Silver chain|Cigar|Doctor glasses|Gray nippon|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4426
1369|618.4129210733364|657|Genesis Kami #657|Porpoise white red|Red wand|Black|Black angry eyes|Jacket hood|Gold spear|Mild smile|Round glasses small|Brownish orange harajuku|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/657
1370|618.4012079375091|4570|Genesis Kami #4570|Sandstone|Katana 1|Cream|Red determined|Gray binbo|Red white fluffy|Gritted|Rimless|Gray long hair|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4570
1371|618.3915442882764|4577|Genesis Kami #4577|Fossil blue fire ghost|Brush|White|Pink gangsta|Blue gangster suit|Silver skull|Purple rose|White opera kamen|Brownish orange shonen|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4577
