rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
81|Oliens #2032|323.2116532355124|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2031|cosmos black back |baby blue ||nose2 |wondering mouth |joker eyes ||blue bathrobe ||green mohak|
82|Oliens #476|320.5677080040573|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/475|anarchist |light lime yellow ||big fat nose |wondering mouth |joker eyes ||under shirt ||red mohak |
83|Oliens #643|318.71984922195077|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/642|tunnel|gray bluish ||bignose |closed mouth |punky eyes ||pizza planet guy t shirt ||head band |
84|Oliens #1442|318.4733660011912|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1441|forest green |light skin |fuck off tattoo |wierd nose |small lips|bored eyes |eyepatch|red Tshirt ||joker hair |cigarette 
85|Oliens #1738|316.9644325688162|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1737|brown and blue |green ||bignose |wondering mouth |joker eyes ||green vintage shirt ||braid ginger |blunt 
86|Oliens #1705|313.38483471512586|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1704|galaxy |sky blue body ||nose2 |wondering mouth |sus eyes|sun glasses |light pink cowboy shirt ||head band |
87|Oliens #422|312.6170273331792|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/421|shades of gray |sun burn white skin |will i ever go home tattoo |nose2 |wild mouth |Oeyes shiny ||black suit & red tie ||oxblood cowboyhat |
88|Oliens #1702|312.2333193930513|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1701|summer |light virdian ||wierd nose |wondering mouth |tierd eyes ||purple and green shirt |gold ring|long braid black |blunt 
89|Oliens #2103|310.02754181214624|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2102|dark purple back |bunrt umber ||nose2 |wondering mouth |bored eyes ||black suit & red tie |silver ring |bald |cigarette 
90|Oliens #1860|308.8963521368548|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1859|blue |bunrt umber ||funny nose |wild mouth |Oeyes ||jedi robe |silver ring |braid ginger |
91|Oliens #1346|306.00845590449103|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1345|glittery night sky |light lime yellow ||bignose |wide mouth|sus eyes||under shirt ||black robe and dark sing |
92|Oliens #1125|300.56302108278607|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1124|purple back |raw umber ||Onose |wide mouth|punky eyes ||jedi robe ||red cap hat |
93|Oliens #1654|299.85701986230913|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1653|forest green |pale lime yellow ||nose2 |wide mouth|Oeyes shiny ||orange vintage shirt ||head band |
94|Oliens #929|299.8105623813596|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/928|shades of gray |pink |stiches |funny nose |closed mouth |cute eyes |red fire glasses |blue bathrobe ||oxblood cowboyhat |cigarette 
95|Oliens #1826|299.03467593695893|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1825|desert|pink ||Onose |wild mouth |punky eyes ||blue Tshirt ||head band |cigarette 
