rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
56|Holo Mask : Blue #3377|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3377|Trey|Scarlett 2 Color|Evan|Niada|George Blue|Isaiah Blue
56|Holo Mask : Blue #3512|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3512|Trey|Ella 2 Color|Bryson|Nyla|Damian Blue|Brayden Blue
56|Holo Mask : Blue #3693|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3693|Trey|Grace 2 Color|Declan|Katie|Declan Blue|Ryan Blue
56|Holo Mask : Blue #3879|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3879|Trey|Layla 2 Color|Wesley|Lucia|Luca Blue|Asher Blue
56|Holo Mask : Blue #3902|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3902|Trey|Mia 2 Color|Ezekiel|Laila|Harrison Blue|Lincoln Blue
56|Holo Mask : Blue #3950|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3950|Trey|Natalie 2 Color|Everett|Marina|Braxton Blue|Alexander Blue
56|Holo Mask : Blue #3952|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3952|Trey|Ella 2 Color|Miles|Marina|Diego Blue|Santiago Blue
56|Holo Mask : Blue #3968|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3968|Trey|Amelia 2 Color|Leonardo|Lucia|Ryker Blue|Michael Blue
56|Holo Mask : Blue #4197|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4197|Trey|Natalie 2 Color|Xavier|Liana|Nathaniel Blue|Josiah Blue
56|Holo Mask : Blue #4213|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4213|Trey|Avery 2 Color|Axel|Nadia|George Blue|Lucas Blue
96|Holo Mask : Blue #478|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/478|Sunshine|Kalin White 2 Color|Leonardo|Nadia|Chase Blue|Cameron Blue
96|Holo Mask : Blue #506|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/506|Sunshine|Jolene White 2 Color|Jameson|Niada|Tyler Blue|Jeremiah Blue
96|Holo Mask : Blue #1037|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1037|Sunshine|Aria 2 Color|Axel|Lucia|Bentley Blue|Robert Blue
96|Holo Mask : Blue #1100|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1100|Sunshine|Luna 2 Color|Miles|Katie|Nathaniel Blue|Thomas Blue
96|Holo Mask : Blue #1236|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1236|Sunshine|Scarlett 2 Color|Weston|Nadia|Ryder Blue|Jordan Blue
96|Holo Mask : Blue #1441|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1441|Sunshine|Kadey White 2 Color|Micah|Morine|Bentley Blue|Nicholas Blue
96|Holo Mask : Blue #1477|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1477|Sunshine|Zoe 2 Color|Jason|Morine|Harrison Blue|Jack Blue
96|Holo Mask : Blue #1547|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1547|Sunshine|Karina White 2 Color|Parker|Nora|Weston Blue|Connor Blue
96|Holo Mask : Blue #1743|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1743|Sunshine|Jemma White 2 Color|Evan|Liana|Nathaniel Blue|Dominic Blue
96|Holo Mask : Blue #2028|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2028|Sunshine|Abigail 2 Color|Axel|Layla|Braxton Blue|Hunter Blue
96|Holo Mask : Blue #2138|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2138|Sunshine|Madison 2 Color|Parker|Malia|Micah Blue|Nolan Blue
96|Holo Mask : Blue #2231|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2231|Sunshine|Hannah 2 Color|Wesley|Niada|Weston Blue|Grayson Blue
96|Holo Mask : Blue #2593|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2593|Sunshine|Lillian 2 Color|Declan|Ocie|Weston Blue|Cooper Blue
96|Holo Mask : Blue #2598|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2598|Sunshine|Zoey 2 Color|Weston|Malia|Ayden Blue|Theodore Blue
96|Holo Mask : Blue #2621|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2621|Sunshine|Ella 2 Color|Luca|Kate|Silas Blue|Levi Blue
96|Holo Mask : Blue #2641|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2641|Sunshine|Nora 2 Color|Sawyer|Nellie|Nathaniel Blue|Ezra Blue
96|Holo Mask : Blue #3188|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3188|Sunshine|Grace 2 Color|Sawyer|Nadia|Tyler Blue|Lincoln Blue
96|Holo Mask : Blue #3368|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3368|Sunshine|Amelia 2 Color|Kayden|Nina|Braxton Blue|Anthony Blue
96|Holo Mask : Blue #3478|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3478|Sunshine|Isabella 2 Color|Wesley|Lilly|Damian Blue|Cameron Blue
96|Holo Mask : Blue #3526|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3526|Sunshine|Mila 2 Color|Ezekiel|Nilda|Ayden Blue|Josiah Blue
96|Holo Mask : Blue #3531|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3531|Sunshine|Jazlyn White 2 Color|Miles|Ocie|Cole Blue|Levi Blue
96|Holo Mask : Blue #3582|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3582|Sunshine|Jolene White 2 Color|Micah|Ocie|Vincent Blue|Adam Blue
96|Holo Mask : Blue #3722|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3722|Sunshine|Avery 2 Color|Declan|Mayda|Ivan Blue|Carter Blue
96|Holo Mask : Blue #3765|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3765|Sunshine|Isabella 2 Color|Declan|Mayda|Gael Blue|Jordan Blue
96|Holo Mask : Blue #3927|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3927|Sunshine|Grace 2 Color|Jason|Lana|Brandon Blue|David Blue
96|Holo Mask : Blue #4057|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4057|Sunshine|Camila 2 Color|Jace|Liana|Kai Blue|Cooper Blue
96|Holo Mask : Blue #4148|779.0103438389119|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4148|Sunshine|Aubrey 2 Color|Everett|Naya|Micah Blue|Samuel Blue
123|Holo Mask : Blue #1309|778.9689590520204|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1309|Trey|Sophia 2 Color|Ayden|Lucia|Brandon Blue|Christopher Blue
123|Holo Mask : Blue #3595|778.9689590520204|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3595|Trey|Jemma White 2 Color|Ayden|Kate|Gael Blue|Jacob Blue
125|Holo Mask : Blue #375|778.9030078010485|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/375|Sunshine|Nora 2 Color|Ayden|Layla|Ayden Blue|Charles Blue
125|Holo Mask : Blue #401|778.9030078010485|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/401|Sunshine|Luna 2 Color|Ayden|Lydia|Kai Blue|Nathan Blue
125|Holo Mask : Blue #4251|778.9030078010485|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4251|Sunshine|Stella 2 Color|Ayden|Naya|Tyler Blue|Jayden Blue
128|Holo Mask : Blue #552|778.8411845429674|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/552|Trey|Harper 2 Color|Bryson|Kylie|Emmett Blue|Cooper Blue
129|Holo Mask : Blue #1097|778.7800802424894|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1097|Trey|Sophia 2 Color|Weston|Merlie|Vincent Blue|Lucas Blue
129|Holo Mask : Blue #4090|778.7800802424894|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4090|Trey|Harper 2 Color|Luca|Merlie|George Blue|Alexander Blue
131|Holo Mask : Blue #3468|778.7752332919956|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3468|Sunshine|Jazmin White 2 Color|Ezekiel|Naila|Emmett Blue|Carson Blue
132|Holo Mask : Blue #247|778.7141289915176|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/247|Sunshine|Lily 2 Color|Kayden|Merlie|Silas Blue|Ryan Blue
