rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
171|159.23940987519399|486|Nerd Ape Dao #486|Green mint|Black|Red singlet|Shy|None|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/486
172|159.0957069695435|784|Nerd Ape Dao #784|Yellow|Robot|Black turtleneck|Wide_eyes|Blue cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/784
173|158.81586867893796|1154|Nerd Ape Dao #1154|Pink|Red|Banana hawaii|Eyepatch|Adventure hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1154
174|158.51622747181227|1068|Nerd Ape Dao #1068|Green mint|Black|Judo|ETH|Blue headscarf|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1068
175|158.40630904041402|645|Nerd Ape Dao #645|Red|Dark brown|Lab|Dizzy|Black top hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/645
176|158.22899774937372|1303|Nerd Ape Dao #1303|Beige|White|Black jacket|Solar_beam|Newsboy cap|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1303
177|158.16859637748558|434|Nerd Ape Dao #434|Blue|Dark brown|White shirt ribbon|Sleepy|Gold crown|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/434
178|158.13956972836579|1030|Nerd Ape Dao #1030|Red|Black|Lab|Dizzy|Newsboy cap|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1030
179|158.03492193123103|1312|Nerd Ape Dao #1312|Blue|Water|Banana hawaii|White Round|Adventure hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1312
180|158.01785220395945|571|Nerd Ape Dao #571|Yellow|Light brown|White singlet|Rainbow|Fastfood|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/571
181|157.9504432406449|1295|Nerd Ape Dao #1295|Light purple|Dark brown|Black tee|Gold|Gold crown|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1295
182|157.77977452108854|289|Nerd Ape Dao #289|Beige|Dark brown|Banana hawaii|Square|Biker helmet|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/289
183|157.6989921578676|1226|Nerd Ape Dao #1226|Yellow|Pink|Brown jacket|Sleepy|Fastfood|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1226
184|157.69687785151368|821|Nerd Ape Dao #821|Red|Water|Blue vest|ETH|Pirate hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/821
185|157.6887876351291|1245|Nerd Ape Dao #1245|Light purple|Water|Brown jacket|Oneeye|Rose headscarf|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1245
186|157.57665919981508|439|Nerd Ape Dao #439|Pink|Black|White fur|Red Cat|Gold crown|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/439
187|157.4470774683039|406|Nerd Ape Dao #406|Red|Black|Tuxedo|Solar_beam|Fastfood|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/406
188|157.38993080993083|874|Nerd Ape Dao #874|Red|Lav|Tech jacket|Fasion|Pink bucket|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/874
