rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
61|🟢+1|Nerd Ape Dao #1129|190.36921908736656|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1129|Pink|Tiger|Brown vest|Rainbow|Pirate hat|Mouchet
62|🔴-1|Nerd Ape Dao #1077|189.84658107307345|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1077|Pink|Cream|Tech jacket|Rainbow|Pink bucket|Close
63|🟢+4|Nerd Ape Dao #1090|189.06004651212987|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1090|Green mint|Red|Lab|Red|Newsboy cap|Grillz
64|🟢+2|Nerd Ape Dao #1241|188.74097727784073|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1241|Red|Dark brown|Goldchain|Red Beam|Pink beanie|Candy
65|🔴-2|Nerd Ape Dao #95|188.48029521101105|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/95|Green mint|Tiger|Red singlet|Red Beam|Green beret|Pipe
66|🟢+2|Nerd Ape Dao #513|187.26132192882184|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/513|Red|Light brown|Purple hoodie|Red Beam|Biker helmet|Open
67|🔴-9|Nerd Ape Dao #1333|186.238808606833|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1333|Green mint|Gray|Red singlet|Half Robot|Pink beanie|Candy
68|🟢+4|Nerd Ape Dao #1005|186.1280731391173|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1005|Light purple|Red|Sheriff|Solar_beam|Fastfood|420
69|🟡|Nerd Ape Dao #1386|186.0376212982365|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1386|Light purple|Robot|Black vest|Half Robot|Adventure hat|Gold Grillz
70|🔴-1|Nerd Ape Dao #1201|185.8801794466158|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1201|Blue|Red|White singlet|Red Beam|Pirate hat|Cigar
71|🟢+2|Nerd Ape Dao #872|185.75821513755935|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/872|Beige|Lav|Lab|Hearteye|Green beanie|Open
72|🔴-2|Nerd Ape Dao #78|185.14551329052674|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/78|Yellow|Zombie|Sheriff|Eyepatch|Gold crown|Gold Grillz
73|🟢+1|Nerd Ape Dao #292|185.01659831381824|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/292|Red|Water|Lab|X|Biker helmet|Burger
74|🟢+4|Nerd Ape Dao #1207|184.5923681640792|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1207|Blue|White|Black tee|Red Beam|Propeller cap|Gum
75|🔴-10|Nerd Ape Dao #200|184.55785506988866|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/200|Light purple|Gold|Dark blue suit|Half Robot|Newsboy cap|Cigarette
76|🔴-12|Nerd Ape Dao #715|184.54456000934908|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/715|Red|Light brown|Purple hoodie|Half Robot|Propeller cap|Grillz
77|🔴-6|Nerd Ape Dao #493|184.35801846993982|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/493|Pink|Black|Fastfood|Rainbow|Biker helmet|Open
78|🔴-2|Nerd Ape Dao #763|183.56026529792732|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/763|Light purple|Cream|Black vest|Rainbow|Blue headscarf|Sneaky
79|🔵|Nerd Ape Dao #1235|183.19852443420712|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1235|Beige|Gray|Red singlet|Solar_beam|Rasta hat|420
